x,y,z,rx,ry,rz,时间戳(秒)
400.0,-13.388,200.0,180.0,0.0,0.0,4.46
400.0,-13.138,200.0,180.0,0.0,0.0,4.47
400.0,-12.888,200.0,180.0,0.0,0.0,4.48
400.0,-12.638,200.0,180.0,0.0,0.0,4.49
400.0,-12.387,200.0,180.0,0.0,0.0,4.5
400.0,-12.137,200.0,180.0,0.0,0.0,4.51
400.0,-11.887,200.0,180.0,0.0,0.0,4.52
400.0,-11.637,200.0,180.0,0.0,0.0,4.53
400.0,-11.386,200.0,180.0,0.0,0.0,4.54
400.0,-11.136,200.0,180.0,0.0,0.0,4.55
400.0,-10.886,200.0,180.0,0.0,0.0,4.56
400.0,-10.636,200.0,180.0,0.0,0.0,4.57
400.0,-10.385,200.0,180.0,0.0,0.0,4.58
400.0,-10.135,200.0,180.0,0.0,0.0,4.59
400.0,-9.885,200.0,180.0,0.0,0.0,4.6
400.0,-9.635,200.0,180.0,0.0,0.0,4.61
400.0,-9.384,200.0,180.0,0.0,0.0,4.62
400.0,-9.134,200.0,180.0,0.0,0.0,4.63
400.0,-8.884,200.0,180.0,0.0,0.0,4.64
400.0,-8.634,200.0,180.0,0.0,0.0,4.65
400.0,-8.383,200.0,180.0,0.0,0.0,4.66
400.0,-8.133,200.0,180.0,0.0,0.0,4.67
400.0,-7.883,200.0,180.0,0.0,0.0,4.68
400.0,-7.633,200.0,180.0,0.0,0.0,4.69
400.0,-7.382,200.0,180.0,0.0,0.0,4.7
400.0,-7.132,200.0,180.0,0.0,0.0,4.71
400.0,-6.882,200.0,180.0,0.0,0.0,4.72
400.0,-6.632,200.0,180.0,0.0,0.0,4.73
400.0,-6.381,200.0,180.0,0.0,0.0,4.74
400.0,-6.131,200.0,180.0,0.0,0.0,4.75
400.0,-5.881,200.0,180.0,0.0,0.0,4.76
400.0,-5.631,200.0,180.0,0.0,0.0,4.77
